Date/Time,Latitude,Longitude,PPPP [hPa],TTT grad [K],RH [%],Height [m],Pitch [deg],Roll [deg],Yaw [deg],SWD [W/m**2] (raw),SWU [W/m**2] (raw),LWD [W/m**2] (raw),LWU [W/m**2] (raw),SWD [W/m**2] (corrected),SWU [W/m**2] (corrected),LWD [W/m**2] (corrected),LWU [W/m**2] (corrected),Flag
2018-08-26 15:51:00,89.62102,26.78847,1004.543,272.5,97.3,2.5,1.82,6.04,79.65,80.76,48.65,303.54,316.06,82.63,51.15,301.69,315.43,0.0
2018-08-26 15:51:00,89.62102,26.78845,1004.554,272.51,97.3,2.4,1.34,5.91,79.16,80.76,48.93,303.42,315.94,83.03,51.17,301.67,315.4,0.0
2018-08-26 15:51:00,89.62102,26.78843,1004.554,272.51,97.3,2.4,0.95,5.75,78.77,81.35,49.0,303.2,316.0,83.25,51.17,301.66,315.38,0.0
2018-08-26 15:51:00,89.62102,26.78842,1004.563,272.51,97.3,2.3,0.59,5.56,78.5,80.56,49.07,303.2,316.1,83.31,51.15,301.65,315.35,0.0
2018-08-26 15:51:00,89.62102,26.7884,1004.596,272.51,97.3,2.1,0.25,5.39,78.34,81.68,49.07,303.11,316.1,83.22,51.12,301.64,315.32,0.0
2018-08-26 15:51:00,89.62102,26.78838,1004.599,272.51,97.3,2.0,0.17,5.37,78.23,81.74,49.14,303.39,315.81,83.01,51.09,301.64,315.29,0.0
2018-08-26 15:51:00,89.62102,26.78836,1004.59,272.5,97.3,2.1,-0.02,4.98,78.22,80.43,49.27,303.11,315.9,82.72,51.04,301.62,315.25,0.0
2018-08-26 15:51:00,89.62102,26.78834,1004.572,272.5,97.3,2.3,-0.38,4.99,78.31,81.22,49.27,303.48,316.1,82.42,51.0,301.63,315.23,0.0
2018-08-26 15:51:00,89.62102,26.78832,1004.563,272.5,97.3,2.3,-0.7,4.99,78.45,80.37,49.27,303.21,316.19,82.13,50.97,301.64,315.18,0.0
2018-08-26 15:51:00,89.62102,26.7883,1004.568,272.5,97.3,2.3,-1.05,4.95,78.65,80.43,49.27,303.22,315.81,81.9,50.96,301.65,315.14,0.0
2018-08-26 15:51:00,89.62102,26.78828,1004.563,272.51,97.3,2.3,-1.66,5.19,78.91,82.72,49.48,302.84,315.81,81.74,50.96,301.66,315.11,0.0
2018-08-26 15:51:00,89.62102,26.78826,1004.559,272.51,97.3,2.4,-1.94,4.98,79.21,81.54,49.27,303.2,316.11,81.66,50.99,301.66,315.08,0.0
2018-08-26 15:51:00,89.62102,26.78824,1004.551,272.51,97.3,2.4,-2.12,5.13,79.46,80.63,49.48,302.92,316.11,81.67,51.04,301.64,315.05,0.0
2018-08-26 15:51:00,89.62102,26.78822,1004.538,272.51,97.3,2.5,-2.39,5.25,79.89,81.35,49.27,302.95,315.93,81.74,51.12,301.69,315.0,0.0
2018-08-26 15:51:00,89.62102,26.78821,1004.526,272.51,97.3,2.6,-2.58,5.31,80.46,80.24,49.41,302.96,315.5,81.86,51.23,301.7,314.88,0.0
2018-08-26 15:51:00,89.62102,26.7882,1004.523,272.51,97.3,2.6,-2.58,5.44,80.99,80.63,49.55,302.83,316.1,82.01,51.36,301.64,314.71,0.0
2018-08-26 15:51:00,89.62102,26.78819,1004.524,272.52,97.3,2.6,-3.09,5.61,81.61,81.94,49.69,302.74,315.61,82.17,51.52,301.57,314.63,0.0
2018-08-26 15:51:00,89.62102,26.78818,1004.536,272.51,97.3,2.5,-3.32,5.52,82.27,81.81,49.76,302.55,315.82,82.32,51.7,301.49,314.52,0.0
2018-08-26 15:51:00,89.62102,26.78816,1004.525,272.52,97.3,2.6,-3.56,5.5,83.01,82.4,49.76,303.58,315.7,82.44,51.89,301.41,314.41,0.0
2018-08-26 15:51:00,89.62102,26.78815,1004.514,272.52,97.3,2.7,-3.58,5.6,83.8,80.82,49.76,303.32,314.65,82.52,52.1,301.34,314.31,0.0
2018-08-26 15:51:00,89.62102,26.78814,1004.519,272.51,97.3,2.7,-3.42,5.77,84.66,81.15,49.55,302.45,314.36,82.56,52.32,301.28,314.21,0.0
2018-08-26 15:51:00,89.62102,26.78813,1004.514,272.52,97.3,2.7,-3.48,5.78,85.59,81.15,49.96,302.55,315.61,82.57,52.55,301.26,314.1,0.0
2018-08-26 15:51:00,89.62102,26.78812,1004.511,272.52,97.3,2.7,-3.11,5.94,86.48,80.89,49.96,302.74,315.81,82.53,52.78,301.26,314.01,0.0
2018-08-26 15:51:00,89.62102,26.78811,1004.5,272.52,97.3,2.8,-3.16,5.88,87.47,80.76,50.1,302.47,315.61,82.47,53.02,301.29,313.94,0.0
2018-08-26 15:51:00,89.62102,26.7881,1004.491,272.52,97.3,2.9,-3.12,5.88,88.58,81.81,49.96,302.56,315.71,82.38,53.26,301.28,313.9,0.0
2018-08-26 15:51:00,89.62102,26.78809,1004.485,272.52,97.3,2.9,-2.89,5.97,89.77,81.54,50.1,302.64,315.23,82.29,53.51,301.29,313.94,0.0
2018-08-26 15:51:00,89.62102,26.78808,1004.48,272.52,97.3,3.0,-2.54,6.07,91.11,82.53,50.31,302.64,315.63,82.19,53.77,301.37,314.04,0.0
2018-08-26 15:51:00,89.62102,26.78806,1004.498,272.52,97.3,2.8,-2.19,6.19,92.64,82.59,50.45,302.36,315.32,82.1,54.03,301.44,314.04,0.0
2018-08-26 15:51:00,89.62102,26.78805,1004.471,272.53,97.3,3.1,-1.81,6.35,94.36,80.5,50.52,302.27,315.24,82.01,54.32,301.49,314.05,0.0
2018-08-26 15:51:00,89.62102,26.78804,1004.477,272.53,97.3,3.0,-1.54,6.55,96.17,81.94,50.45,302.27,315.34,81.95,54.61,301.51,314.05,0.0
2018-08-26 15:51:00,89.62102,26.78803,1004.49,272.53,97.3,2.9,-1.25,6.76,98.08,80.69,50.73,302.46,315.34,81.89,54.93,301.51,314.04,0.0
2018-08-26 15:51:00,89.62102,26.78801,1004.477,272.53,97.3,3.0,-0.98,6.88,100.02,81.35,50.73,302.55,315.05,81.83,55.27,301.47,314.02,0.0
2018-08-26 15:51:00,89.62102,26.788,1004.464,272.53,97.3,3.1,-0.95,6.79,102.09,81.74,50.93,302.1,315.61,81.78,55.63,301.4,313.99,0.0
2018-08-26 15:51:00,89.62102,26.78799,1004.451,272.53,97.3,3.2,-0.71,6.9,104.14,81.81,51.0,302.27,315.23,81.72,56.0,301.32,313.95,0.0
2018-08-26 15:51:00,89.62102,26.78797,1004.441,272.53,97.3,3.3,-0.97,6.76,106.35,82.4,51.21,302.18,315.05,81.64,56.38,301.24,313.9,0.0
2018-08-26 15:51:00,89.62102,26.78796,1004.433,272.53,97.3,3.4,-1.18,6.62,108.57,80.69,51.14,302.08,315.34,81.55,56.77,301.15,313.85,0.0
2018-08-26 15:51:00,89.62102,26.78795,1004.429,272.53,97.3,3.4,-1.27,6.48,110.83,81.61,51.42,302.55,314.86,81.44,57.14,301.08,313.81,0.0
2018-08-26 15:51:00,89.62102,26.78793,1004.435,272.53,97.3,3.3,-1.37,6.26,113.09,80.89,51.62,302.08,315.44,81.33,57.51,301.04,313.77,0.0
2018-08-26 15:51:00,89.62102,26.78792,1004.439,272.53,97.3,3.3,-1.62,5.84,115.38,81.81,51.56,302.18,314.76,81.23,57.84,301.02,313.74,0.0
2018-08-26 15:51:00,89.62102,26.7879,1004.449,272.53,97.3,3.2,-2.14,5.62,117.71,82.2,51.97,302.28,315.05,81.14,58.16,301.03,313.7,0.0
2018-08-26 15:51:00,89.62102,26.78789,1004.449,272.53,97.3,3.2,-2.77,5.34,120.06,82.0,52.04,302.28,314.95,81.09,58.44,301.16,313.57,0.0
2018-08-26 15:51:00,89.62103,26.78787,1004.452,272.53,97.3,3.2,-3.31,4.96,122.46,81.94,52.32,302.18,314.95,81.09,58.7,301.3,313.47,0.0
