Date/Time,Latitude,Longitude,PPPP [hPa],TTT grad [K],RH [%],Height [m],Pitch [deg],Roll [deg],Yaw [deg],SWD [W/m**2] (raw),SWU [W/m**2] (raw),LWD [W/m**2] (raw),LWU [W/m**2] (raw),SWD [W/m**2] (corrected),SWU [W/m**2] (corrected),LWD [W/m**2] (corrected),LWU [W/m**2] (corrected),Flag
2018-08-21 10:46:00,89.59134,21.51934,930.07,273.05,95.8,663.1,16.66,1.34,-47.73,72.25,54.59,312.37,317.23,72.6,54.87,312.86,317.43,1.0
2018-08-21 10:46:00,89.59134,21.51932,930.162,273.06,95.8,662.3,16.98,0.92,-47.12,72.58,54.59,311.93,316.83,72.54,54.81,312.92,317.47,1.0
2018-08-21 10:46:00,89.59134,21.5193,930.189,273.06,95.8,662.1,16.8,1.12,-47.15,72.51,54.52,312.72,317.21,72.49,54.78,312.94,317.47,1.0
2018-08-21 10:46:00,89.59134,21.51929,930.172,273.06,95.8,662.2,16.62,1.14,-47.45,72.12,54.45,312.64,317.36,72.46,54.77,312.91,317.45,1.0
2018-08-21 10:46:00,89.59134,21.51927,930.151,273.06,95.8,662.4,15.9,1.14,-47.95,72.19,54.66,312.46,317.27,72.44,54.79,312.84,317.4,1.0
2018-08-21 10:46:00,89.59134,21.51926,930.167,273.06,95.8,662.3,14.8,1.27,-48.46,71.73,54.52,312.55,317.26,72.43,54.81,312.79,317.34,1.0
2018-08-21 10:46:00,89.59134,21.51924,930.264,273.06,95.8,661.4,14.61,1.5,-48.51,71.33,54.73,312.46,317.26,72.42,54.83,312.81,317.26,1.0
2018-08-21 10:46:00,89.59134,21.51922,930.23,273.06,95.8,661.7,15.85,1.58,-48.58,72.19,54.52,312.65,317.08,72.4,54.83,312.85,317.19,1.0
2018-08-21 10:46:00,89.59134,21.51921,930.186,273.06,95.8,662.1,18.56,1.42,-48.51,72.97,54.59,312.64,317.08,72.36,54.8,312.75,317.13,1.0
2018-08-21 10:46:00,89.59134,21.51919,930.171,273.06,95.8,662.2,20.8,1.31,-48.21,72.45,54.66,312.46,317.28,72.3,54.74,312.7,317.09,1.0
2018-08-21 10:46:00,89.59134,21.51918,930.187,273.06,95.8,662.1,22.03,1.31,-47.77,71.86,54.66,312.91,317.39,72.22,54.65,312.71,317.07,1.0
2018-08-21 10:46:00,89.59134,21.51916,930.195,273.06,95.8,662.0,22.69,1.37,-47.41,72.71,54.8,313.78,317.26,72.12,54.54,312.74,317.07,1.0
2018-08-21 10:46:00,89.59134,21.51915,930.146,273.06,95.8,662.4,23.78,1.34,-47.3,72.19,54.59,313.66,317.02,72.03,54.42,312.88,317.09,1.0
2018-08-21 10:46:00,89.59134,21.51913,930.105,273.05,95.8,662.8,23.2,1.24,-47.47,72.45,54.66,312.8,317.03,71.95,54.32,313.06,317.11,1.0
2018-08-21 10:46:00,89.59134,21.51912,930.108,273.05,95.8,662.8,22.35,1.34,-47.65,71.92,54.45,312.78,317.08,71.88,54.25,313.15,317.13,1.0
2018-08-21 10:46:00,89.59134,21.5191,930.127,273.06,95.8,662.6,22.95,1.51,-47.76,71.79,54.8,312.89,317.08,71.84,54.23,313.17,317.15,1.0
2018-08-21 10:46:00,89.59134,21.5191,930.126,273.06,95.8,662.6,24.69,1.56,-47.74,72.12,54.59,312.68,317.29,71.83,54.26,313.14,317.16,1.0
2018-08-21 10:46:00,89.59134,21.51908,930.207,273.06,95.8,661.9,23.05,1.26,-47.36,71.92,54.45,313.5,317.1,71.82,54.34,313.0,317.18,1.0
2018-08-21 10:46:00,89.59134,21.51907,930.199,273.06,95.8,662.0,21.54,1.19,-47.13,72.71,54.38,313.74,317.08,71.83,54.46,312.85,317.21,1.0
2018-08-21 10:46:00,89.59134,21.51906,930.193,273.06,95.8,662.0,20.35,1.33,-47.17,71.86,54.59,312.89,317.09,71.83,54.62,312.78,317.24,1.0
2018-08-21 10:46:00,89.59134,21.51905,930.176,273.06,95.8,662.2,20.49,1.38,-47.32,71.66,54.52,312.46,317.37,71.83,54.77,312.75,317.27,1.0
2018-08-21 10:46:00,89.59134,21.51904,930.151,273.06,95.8,662.4,21.19,1.36,-47.47,72.51,54.52,312.46,317.36,71.83,54.91,312.74,317.31,1.0
2018-08-21 10:46:00,89.59134,21.51903,930.188,273.06,95.8,662.1,20.58,1.52,-47.52,71.99,54.59,312.46,317.07,71.83,55.02,312.7,317.37,1.0
2018-08-21 10:46:00,89.59134,21.51902,930.192,273.06,95.8,662.0,21.83,1.57,-47.56,72.71,54.66,312.55,317.26,71.86,55.08,312.59,317.42,1.0
2018-08-21 10:46:00,89.59134,21.51901,930.183,273.05,95.8,662.1,24.16,1.62,-47.84,72.32,54.66,312.37,317.07,71.93,55.09,312.49,317.46,1.0
2018-08-21 10:46:00,89.59134,21.519,930.157,273.05,95.8,662.3,26.21,1.6,-48.25,72.45,54.73,312.9,317.26,72.06,55.05,312.49,317.5,1.0
2018-08-21 10:46:00,89.59134,21.51898,930.131,273.05,95.8,662.6,27.29,1.55,-48.42,71.01,54.73,313.24,317.17,72.28,54.98,312.55,317.51,1.0
2018-08-21 10:46:00,89.59134,21.51896,930.131,273.05,95.8,662.6,27.2,1.54,-48.07,72.32,54.66,312.46,317.28,72.58,54.89,312.62,317.5,1.0
2018-08-21 10:46:00,89.59134,21.51894,930.19,273.06,95.8,662.1,27.4,1.4,-47.79,71.86,54.66,312.65,317.36,72.95,54.79,312.67,317.46,1.0
2018-08-21 10:46:00,89.59133,21.51892,930.162,273.05,95.8,662.3,28.29,1.44,-47.55,71.66,54.59,312.46,317.17,73.37,54.71,312.71,317.39,1.0
2018-08-21 10:46:00,89.59133,21.5189,930.171,273.06,95.8,662.2,29.51,1.42,-47.96,72.64,54.59,312.56,317.27,73.81,54.64,312.7,317.31,1.0
2018-08-21 10:46:00,89.59133,21.51888,930.178,273.06,95.8,662.2,28.55,1.46,-48.13,71.99,54.73,312.46,317.08,74.21,54.61,312.61,317.23,1.0
2018-08-21 10:46:00,89.59133,21.51886,930.146,273.05,95.8,662.4,25.37,1.59,-47.72,72.45,54.66,312.45,317.37,74.53,54.6,312.5,317.15,1.0
2018-08-21 10:46:00,89.59133,21.51885,930.183,273.06,95.8,662.1,23.27,1.55,-47.24,72.25,54.66,312.28,317.26,74.73,54.61,312.46,317.08,1.0
2018-08-21 10:46:00,89.59133,21.51883,930.12,273.05,95.8,662.7,22.11,1.59,-46.56,72.84,54.38,312.47,317.37,74.76,54.63,312.37,317.05,1.0
2018-08-21 10:46:00,89.59133,21.51881,930.124,273.05,95.8,662.6,23.23,1.41,-46.16,72.64,54.8,312.19,317.27,74.62,54.65,312.29,317.04,1.0
2018-08-21 10:46:00,89.59133,21.51879,930.15,273.05,95.8,662.4,25.7,1.21,-46.1,72.25,54.73,312.27,317.39,74.3,54.66,312.22,317.06,1.0
2018-08-21 10:46:00,89.59133,21.51877,930.161,273.06,95.8,662.3,27.88,1.14,-46.24,72.84,54.66,312.58,317.1,73.84,54.65,312.14,317.09,1.0
