Date/Time,Latitude,Longitude,PPPP [hPa],TTT grad [K],RH [%],Height [m],Pitch [deg],Roll [deg],Yaw [deg],SWD [W/m**2] (raw),SWU [W/m**2] (raw),LWD [W/m**2] (raw),LWU [W/m**2] (raw),SWD [W/m**2] (corrected),SWU [W/m**2] (corrected),LWD [W/m**2] (corrected),LWU [W/m**2] (corrected),Flag
2018-09-10 07:36:00,88.65608,46.18076,918.75,267.58,80.8,812.7,0.99,-0.1,92.96,82.2,81.62,200.12,275.04,83.67,82.42,199.87,275.36,1.0
2018-09-10 07:36:00,88.65608,46.18076,918.76,267.58,80.8,812.6,0.88,-0.11,92.92,81.74,81.76,200.12,275.34,83.44,82.41,199.94,275.36,1.0
2018-09-10 07:36:00,88.65608,46.18076,918.789,267.58,80.8,812.4,0.89,-0.07,92.86,81.22,81.55,200.23,275.25,83.14,82.38,200.01,275.35,1.0
2018-09-10 07:36:00,88.65608,46.18075,918.806,267.58,80.8,812.2,0.96,-0.04,92.8,81.35,81.69,200.23,275.25,82.79,82.32,200.07,275.36,1.0
2018-09-10 07:36:00,88.65608,46.18075,918.772,267.58,80.8,812.5,0.93,-0.05,92.81,82.07,81.62,200.22,275.35,82.42,82.25,200.15,275.37,1.0
2018-09-10 07:36:00,88.65608,46.18075,918.767,267.58,80.8,812.6,0.98,-0.01,92.79,81.54,81.76,200.31,275.34,82.06,82.17,200.22,275.39,1.0
2018-09-10 07:36:00,88.65608,46.18074,918.775,267.58,80.8,812.5,0.97,0.02,92.8,83.18,81.69,200.22,275.33,81.74,82.09,200.27,275.41,1.0
2018-09-10 07:36:00,88.65608,46.18074,918.782,267.58,80.8,812.4,1.01,0.03,92.83,81.22,81.89,200.12,275.44,81.46,82.01,200.31,275.43,1.0
2018-09-10 07:36:00,88.65608,46.18074,918.786,267.58,80.8,812.4,1.06,0.03,92.87,82.07,81.76,200.12,275.63,81.24,81.94,200.31,275.44,1.0
2018-09-10 07:36:00,88.65608,46.18074,918.786,267.58,80.8,812.4,1.09,0.03,92.92,82.0,81.76,200.12,275.34,81.08,81.86,200.28,275.45,1.0
2018-09-10 07:36:00,88.65608,46.18073,918.764,267.58,80.8,812.6,1.08,0.03,92.98,81.28,81.69,199.94,275.34,80.98,81.8,200.23,275.45,1.0
2018-09-10 07:36:00,88.65608,46.18073,918.793,267.59,80.8,812.3,1.06,-0.16,93.03,82.4,81.69,200.12,275.24,80.92,81.73,200.16,275.44,1.0
2018-09-10 07:36:00,88.65608,46.18073,918.805,267.58,80.8,812.2,0.89,-0.15,93.11,81.81,81.82,200.04,275.24,80.89,81.66,200.08,275.43,1.0
