Date/Time,Latitude,Longitude,PPPP [hPa],TTT grad [K],RH [%],Height [m],Pitch [deg],Roll [deg],Yaw [deg],SWD [W/m**2] (raw),SWU [W/m**2] (raw),LWD [W/m**2] (raw),LWU [W/m**2] (raw),SWD [W/m**2] (corrected),SWU [W/m**2] (corrected),LWD [W/m**2] (corrected),LWU [W/m**2] (corrected),Flag
2018-08-20 16:41:00,89.62062,31.79224,1015.05,273.79,82.5,2.6,9.89,5.41,-26.95,119.11,80.19,258.08,315.0,114.99,80.6,258.09,314.67,0.0
2018-08-20 16:41:00,89.62062,31.79224,1015.05,273.79,82.5,2.6,9.81,5.67,-27.85,122.06,80.33,258.46,314.49,115.68,80.58,258.17,314.71,0.0
2018-08-20 16:41:00,89.62062,31.79224,1015.052,273.79,82.5,2.6,9.73,5.87,-28.7,118.72,80.19,258.36,314.58,116.42,80.53,258.25,314.77,0.0
2018-08-20 16:41:00,89.62062,31.79224,1015.028,273.78,82.5,2.8,9.58,6.06,-29.49,118.46,80.12,258.01,314.96,117.17,80.49,258.21,314.78,0.0
2018-08-20 16:41:00,89.62062,31.79225,1015.046,273.78,82.5,2.7,9.35,6.18,-30.16,119.83,80.19,257.78,314.8,117.87,80.45,258.23,314.8,0.0
2018-08-20 16:41:00,89.62062,31.79226,1015.021,273.77,82.5,2.9,9.08,6.26,-30.7,119.76,80.33,257.23,315.13,118.48,80.43,258.15,314.7,0.0
2018-08-20 16:41:00,89.62062,31.79227,1015.01,273.77,82.5,3.0,8.92,6.28,-31.22,118.59,80.47,258.09,315.51,118.98,80.44,258.07,314.71,0.0
2018-08-20 16:41:00,89.62062,31.79228,1015.027,273.77,82.5,2.8,8.82,6.29,-31.66,118.91,80.19,258.45,316.15,119.34,80.48,257.96,314.74,0.0
2018-08-20 16:41:00,89.62062,31.79229,1015.086,273.76,82.5,2.4,8.72,6.33,-31.86,119.63,80.12,257.11,315.12,119.54,80.56,257.83,314.74,0.0
2018-08-20 16:41:00,89.62062,31.7923,1015.054,273.76,82.5,2.6,8.6,6.42,-31.92,120.03,80.26,257.53,315.15,119.58,80.66,257.77,314.76,0.0
2018-08-20 16:41:00,89.62062,31.7923,1015.043,273.76,82.5,2.7,8.54,6.21,-31.94,119.83,80.26,257.42,314.76,119.47,80.78,257.75,314.89,0.0
2018-08-20 16:41:00,89.62062,31.79232,1015.03,273.75,82.6,2.8,8.73,6.3,-31.95,120.48,80.26,257.32,315.11,119.23,80.91,257.78,314.91,0.0
2018-08-20 16:41:00,89.62062,31.79232,1015.028,273.75,82.6,2.8,8.9,6.32,-31.87,118.39,80.4,257.21,314.53,118.91,81.05,257.71,314.81,0.0
2018-08-20 16:41:00,89.62062,31.79233,1015.039,273.75,82.6,2.7,8.88,6.32,-31.63,119.63,80.33,257.08,314.89,118.54,81.17,257.62,314.68,0.0
2018-08-20 16:41:00,89.62062,31.79234,1015.041,273.75,82.6,2.7,8.71,6.57,-31.18,119.9,80.26,257.52,314.77,118.16,81.27,257.68,314.61,0.0
2018-08-20 16:41:00,89.62062,31.79235,1015.039,273.74,82.6,2.7,8.87,6.48,-30.88,118.85,80.4,258.0,315.81,117.82,81.35,257.68,314.52,0.0
2018-08-20 16:41:00,89.62062,31.79236,1015.033,273.74,82.6,2.8,8.52,6.58,-30.34,118.78,80.4,257.68,314.8,117.56,81.4,257.74,314.42,0.0
2018-08-20 16:41:00,89.62062,31.79238,1015.042,273.74,82.6,2.7,8.51,6.6,-29.72,119.44,80.47,257.12,314.57,117.38,81.42,257.68,314.31,0.0
2018-08-20 16:41:00,89.62062,31.79239,1015.044,273.73,82.6,2.7,8.5,6.57,-29.05,119.9,80.54,257.15,314.42,117.32,81.42,257.63,314.21,0.0
2018-08-20 16:41:00,89.62062,31.7924,1015.008,273.73,82.6,3.0,8.14,6.54,-28.29,119.44,80.54,258.1,314.46,117.36,81.39,257.66,314.13,0.0
2018-08-20 16:41:00,89.62062,31.79241,1015.035,273.73,82.6,2.8,7.91,6.32,-27.3,118.65,80.4,257.42,314.3,117.51,81.34,257.58,314.0,0.0
2018-08-20 16:41:00,89.62062,31.79242,1014.998,273.72,82.6,3.1,7.39,6.56,-26.49,119.31,80.54,257.57,314.28,117.73,81.28,257.53,313.8,0.0
2018-08-20 16:41:00,89.62062,31.79243,1015.004,273.71,82.6,3.0,6.92,6.34,-25.61,118.85,80.61,256.84,314.34,118.02,81.2,257.55,313.66,0.0
2018-08-20 16:41:00,89.62062,31.79244,1015.018,273.71,82.6,2.9,7.0,6.39,-24.54,119.18,80.54,257.01,313.85,118.36,81.12,257.62,313.6,0.0
2018-08-20 16:41:00,89.62062,31.79246,1015.001,273.71,82.6,3.0,7.4,6.68,-23.36,118.13,80.74,257.56,314.06,118.73,81.03,257.66,313.6,0.0
2018-08-20 16:41:00,89.62062,31.79247,1014.996,273.71,82.6,3.1,7.07,6.19,-22.38,119.44,80.54,256.85,313.49,119.12,80.93,257.63,313.6,0.0
2018-08-20 16:41:00,89.62062,31.79248,1015.002,273.71,82.7,3.0,7.84,6.34,-21.09,118.98,80.61,257.75,313.87,119.53,80.83,257.74,313.6,0.0
2018-08-20 16:41:00,89.62062,31.79249,1015.004,273.7,82.7,3.0,7.59,6.12,-20.64,118.72,80.47,258.12,313.59,119.95,80.74,257.75,313.61,0.0
2018-08-20 16:41:00,89.62062,31.7925,1015.002,273.7,82.7,3.0,7.63,6.01,-20.02,119.44,80.68,258.23,313.85,120.41,80.64,257.84,313.63,0.0
2018-08-20 16:41:00,89.62062,31.79251,1014.998,273.69,82.7,3.1,7.74,5.98,-19.24,119.24,80.54,257.88,314.51,120.89,80.56,257.91,313.61,0.0
2018-08-20 16:41:00,89.62062,31.79252,1014.994,273.69,82.7,3.1,7.22,5.83,-18.84,119.11,80.61,257.84,314.4,121.4,80.48,257.86,313.54,0.0
2018-08-20 16:41:00,89.62062,31.79252,1014.967,273.69,82.7,3.3,7.57,6.26,-18.58,118.98,80.68,258.79,314.22,121.95,80.41,257.9,313.56,0.0
2018-08-20 16:41:00,89.62062,31.79253,1014.935,273.69,82.7,3.6,7.35,5.95,-18.06,120.09,80.61,257.96,314.52,122.53,80.35,257.84,313.53,0.0
2018-08-20 16:41:00,89.62062,31.79254,1014.921,273.69,82.7,3.7,7.32,6.2,-17.7,120.09,80.54,257.78,314.73,123.12,80.31,257.73,313.47,0.0
2018-08-20 16:41:00,89.62062,31.79255,1014.931,273.69,82.7,3.6,7.08,6.56,-17.5,118.72,80.54,257.57,313.54,123.71,80.29,257.63,313.46,0.0
